ans,ups
['支持不支持无所谓，我只是期待更多人看清打仗需要考虑后勤，一个穷国建设不好空军，打不好电子战，信息战，最重要的是战争中没那么多情怀的道理。所以主要以围观俄方动向为主。\n\n由于时差，每天早上如果起来先刷一下最新俄方百态的话，五点多六点自然醒可以看到最新乐子。俄乌冲突帮我把生物钟调整到了这个时间，导致这几天的捅嗓子过程丝般顺滑，下楼赶最早一波十五分钟就搞定。算一个额外好处。'],693
['我们摩尔多瓦人讨厌俄罗斯没有问题吧'],902
[''],1659
['看了一下68个答案，只有一个支持俄罗斯。台湾特务果然都逃走了。'],1109
['废话！当然是支持中国了！\n不论是俄罗斯还是乌克兰，都不配得到我们的支持。\n不止是俄罗斯，乌克兰，其他好多国家，也不配得到我们的支持。\n中国是贯彻执行和平共处五项原则最好的国家，没有之一！\n而其他的国家呢？有几个对得起中国？\n美国为首的北约，轰炸我大使馆，南海撞机，结下血仇。我们有去撞他们的大楼吗？有在他们街头自爆吗？没有。\n英法，鸦片战争，打破我国门，南海耀武扬威，我们有报复他们吗？没有。\n俄罗斯，强占，分裂我大片国土，我们捏着鼻子翻篇了，划界。\n乌克兰，公然支持港独，但我们却没承认克里米亚，顿巴斯，顶多也就是观望，够客气了吧？\n土耳其，明摆着跟疆独勾搭，我们也没给人下刀子吧？\n日本，累世血仇，我们没给他杀人放火吧？够克制了吧？\n越南，有过龃龉，但我们没有趁人之危吧？说惩戒就是惩戒，打完了该收工就收工，够收敛了吧？以至于有些小将批评我们的理由居然是打得还不够狠。\n印度，长期边境对峙，摩擦，新仇旧恨一起算，最后边境线冷兵器决斗收场。连入关壬都看不下去，嫌我们束手束脚。\n缅甸内战，炮弹落入我国境内，炸死我边民，我们还是忍了。\n……\n一桩桩，一件件，哪一次是我们对不起别人？哪一次我们没留余地？\n就这帮贵物，好意思问我们支持谁？\n我倒想反问一下：你们凭什么不支持中国？\n你们放着最温和，最克制，最守规矩的中国不支持，非要逼问我在一堆乐色里面支持谁！？\n还支持！？我TM恨不得把他们全都打趴下！要都像我们中国这样，早就天下太平了！\n一帮狗咬狗的东西，你们也有脸扛反侵略的道义？哪一次纷争不是你们自己拱火拱出来的？\n不都是你们自找的？\n我去年写答案就说过，全世界就中国是食草的，其他的有一个算一个，全都是属鬣狗的，个顶个的专门干掏屁股的勾当。\n你问我支持谁？\n俄罗斯先动的手，所以我支持俄罗斯。因为，总得有鬣狗先掏第一肛。\n接下来，乌克兰反抗，所以我支持乌克兰。因为，有反抗才会流更多的血。\n再接下来，北约入场，那我更支持，鬣狗越多，掏得越惨烈。\n再后面，世界各地蠢蠢欲动，我简直举双手双脚支持！全都给老子入场！都掏！\n掏得肠子肚子满地！\n去NM的唇亡齿寒！俄国佬三姓家奴！专门背刺卖队友！\n也去NM的stand with乌克兰！古早的军事小说甚至参谋的演习预案里，设定一直是我们解放台湾的时候，俄国佬会背刺！甘当北约马前卒！也就是说，你stand with乌克兰，打倒的其实是将来很有可能给你们自己充当打手的毛子！惊不惊喜意不意外？\n我巴不得它们全都去死！我支持它们相互掏屁股，全都掏死，然后天下太平！'],1416
['IP显示又咋了，我一直就在乌克兰，只要乌克兰不吭我不骗我那我就继续支持乌克兰！'],1501
['现在知道知乎等这么长时间才上线ip显示的原因了吧？\n还是那句话，俄乌都是身外事。我只想解放台湾。'],866
['我当然支持乌克兰。\n如果俄罗斯搞跟北约动手，我就支持俄罗斯。'],426
['5/1：某些网友质疑我反对俄罗斯的立场，你们不知道俄罗斯年初刚镇压了哈萨克斯坦社会主义运动？\n另：劳工朋友们劳动节快乐！工农联盟万岁！无产阶级专政路线万岁！台湾是中国不可分裂的一部分！\n\n原回答：支持乌克兰人民的民族独立斗争，支持俄罗斯人民的反战斗争，支持两国人民将帝国主义战争转变为无产阶级革命'],670
['你看我IP就知道我支持谁也不可能支持俄罗斯'],2674
['当然是支持乌克兰。\n你们拿你们的卢布，我们拿我们的新台币，每个中国人都有着光明的未来。'],675
['就是显示我的脸，我也照样支持二毛。\n不过我觉得做的还不够，既然做了就应该精确到在哪个小区才行。\n顺带把学历认证给完善一下，不认证不给说话。\n大专以下也不能说话，读大专是正常人就行，大专都上不了闭麦看着吧。\n这样某乎就能清净的多。'],417
['这类问题下你可以看到一个很有趣的现象：\n一个拥有1300回答的“热门”问题，所有答案都出奇一致地简洁短小地支持乌克兰，但最高赞答案竟然只有600出头。\n前五位答案甚至前十位答案明明意见完全一致，但平均点赞数却连200都不到。\n\n\n一位不明就里的吃瓜群众点进这种问题，会怎么想？\n\n\n一个最高赞只有600的问题，应该算是一个冷门问题，但为什么又有1200个完全一致的回答？\n一个1200回答的问题，应该浏览很高，很多人看过才对啊，但最高赞却又只有600？\n那应该是有很多浏览者不同意该问题下已有的答案，才没有点赞。那么这个问题下的回答应该各抒己见，意见差别很大才对啊？。但1200个回答却又全都完全一致，连一个稍微不同的声音都听不到？\n\n\n到底是这上千个支持乌克兰的三无小号是多数呢？\n还是大量点进问题却没有点赞的暂时沉默的浏览者才是多数呢？\n\n\n对了你们还可以打开查看全部回答，看看我这个答案被踩到了什么位置。\n我又没说我支持俄罗斯还是乌克兰，为什么都要踩我呢？去给这几千个支持乌克兰的答案点赞不好么？'],2617
['谁也不支持，就希望俄罗斯、乌克兰、欧盟和美国大打特打，流尽乌克兰的血，拖垮俄罗斯的军队，搞烂欧盟的经济，分散美国的压力。\n亚洲是亚洲人的亚洲。'],213
['真是无聊，老区怎么说？老区\n现在各国不是人均认为优势在我，求仁得仁，大家都满意的世界诞生了，为什么还有人急呢，俄罗斯认为自己在创造新秩序，给欧美放血，赢了。乌克兰认为欧美下场援助，胜算很大，赢了，美国认为不用参战就花点钱就能控制局势，赢了。契丹认为一石三鸟其他人都赢了美国还在搬石砸脚自己中立不仅积累经验还让俄罗斯更依靠自己，赢麻了。\n大家都开心的世界就等着看乐子不就好了，战场上还是得靠物质力量取胜，简中互联网（无贬义）上的舆论对战场毫无影响，怎么总有部分人急不可耐的开始猎巫。\n就在江西，井冈山大学还就那个在我们市，显示个ip有什么，当初F城都不怕难道害怕这个'],236
['可以说话了？\n那我说了.\n我反对乌克兰现政府.\n任何试图分裂我国家现行政府的行为，我一概都反对.\n我认可的领土疆域就是中华人民共和国坚持的疆域.\n你要扩大还是缩小，那是你的问题.\n别代表我.也别代表中华人民共和国.\n想在现有疆域基础上开疆拓土，立不世之功的.那是你的事情.\n\n至于我，很简单.\n在统一问题上，坚持统一台湾，优先统一台湾，不惜一切代价统一台湾.\n我的敌人也很明确，美国政权及其走狗.\n\n我过去一千多个答案，随时接受你们拉出来检验.\n\n我差点忘了，有人说1450的证据在哪？\n巧了，我真的有.\n在乌克兰的某个答案下面\n有个人被我抓到，改了名字，还要脏了我的评论区，导致评论区上锁.'],1376
['我支持人民。\n一辆救护车刚刚从前线救走了三名受伤的乌克兰士兵。其中一人的拳头上缠着绷带，早已被鲜血浸透。其余的绷带还是干净的。\n“那边一切都好吗？那里一切都很好——没有人？..”——救护车司机阿列克谢结结巴巴地说道。视线从轨道上移开，他试图对机舱内的军人喊道：“要不要给你麻醉？你说话，别害羞！没什么好丢脸的。现在，再过15分钟[我们会到达那里]！”\n医护人员玛丽亚挤在司机和Meduza通讯员之间的前排座位上，听到这些话，她转过身，从一扇特殊的窗户探入乘客舱。“疼吗？” 她伤心地问一名手臂受伤的士兵。他沉默了。\n玛丽亚和阿列克谢不是专业的医疗团队。克拉马托斯克妇产医院的助产士玛丽亚在战前从未担任过护理人员。她的丈夫阿列克谢曾是一名调查员，从未当过救护车司机。4月8日，克拉马托尔斯克火车站遭到导弹袭击，造成57人死亡，这家人决定帮助前线。\n“对我来说，注射止痛药或绷带是最基本的。我也可以缝血管。4月9日，我们决定去医院，”玛丽亚在与Meduza的谈话中回忆道。“他们要求服兵役：我是一名医生，我的丈夫是一名护士。但我们被告知[乌克兰武装部队（APU）]没有空缺。”在俄罗斯入侵第二天成立的非营利组织救生中心向玛丽亚和阿列克谢派出了一辆救护车——不仅从前线，而且从被俄罗斯包围或占领的城市中救出伤员军队。\n受伤士兵的绷带上有更多的血迹。“在流血，”护理人员关切地评论道。“我们的车真差，”阿列克谢悲伤地说。并打开警报器。\n救护车开往蛇形山。“现在要从一边扔到另一边了！”阿列克谢向伤员大喊。“稍微摇一摇，它会变得更容易！”\n玛丽亚突然尖叫起来，闭上了眼睛。汽车没有停下，只是撞上了一只出现在路上的野鸡。只过了一分钟，护理人员就把手从他脸上移开，低声说：“利奥沙，他被困在这里面了——在散热器里。”\n接下来的几公里，救护车带着一只野鸡在散热器里行驶。“我不会因为一只鸡而停车，”阿列克谢闷闷不乐地说。没错，很快他就更加深情地问妻子：“它还挂着吗？”“好了，垂下来，”玛丽亚沮丧地回答。\n司机把头探出窗外，喊道：“受伤了！” 汽车前面是横跨轨道的混凝土块。停下救护车后，检查站的人几乎没有微笑，开始看着卡在散热器里的鸟。出于某种原因，他拉着野鸡的杂色尾巴。\n然后他开始询问乘客。“是的，我有三人受伤，该死的！”阿列克谢突然尖叫起来。“你会看，不是吗？”“来吧，来吧，来吧，”——战士们立刻严肃地让他通过。\n“[沙龙里]的男孩们一切正常吗？”阿列克谢问他的妻子。“现在，10分钟，我们就到了。”前方，一辆汽车出现在路上，并不急于让救护车通过。警笛声与阿列克谢愤怒的喊声交织在一起：“Chmo！多么失败。谁生了你？！该死的让路。他认为他们不会那样对待他，你明白吗？”\n\n“我正要打开我们的巴士（面包车）的门——突然砰，砰，砰，”埃琳娜回忆起导弹袭击的那一刻。“我甚至都不知道有这样的恐惧存在。我（以前）甚至不怕死。炸了就炸了吧。但当我受到炮击时，我意识到我现在害怕了。她只是用手捂住了头，喊道：“上帝，救救我！上帝救救我！上帝救救我！””\n火车站被集束弹药击中：弹头在空中爆炸，释放出数十个带有许多破坏性部件的小型弹药。当埃琳娜终于下车时，她看到了“乱七八糟的人”——并开始寻找她的丈夫。“我知道他在车站，”埃琳娜说。“而且我确信他还活着。”\n埃琳娜看到一具黑色的骷髅从停在车站外的汽车里拉出来。我看到了一个女人的尸体，旁边是一个被斩首的孩子的尸体。只见内脏倒在地上：“肾，肝。我现在知道头骨的厚度了。我从来没有见过这样的事情。”\n………\n埃琳娜说：“我跑上前去看看这张防水布。”。“在某个地方有一具尸体。在某个地方——只是一堆未知的东西。每一次都让人松了一口气，原来不是他。”\n“我一开始只看到了腿，”埃琳娜说穿着他的运动鞋。我认出了牛仔裤——这是从防水油布下面可以看到的。但她不相信。我跑到那里，冲到了头上——主持人士兵追着我，抓住我，把我拉回来：“不，不，别看！”但事实证明我跑得更快。不管怎样，她还是掀开了防水布。”\n当天在车站的幸存者中有一名12岁的女孩。她清醒过来后，只谈到了“志愿者叔叔”——也就是罗曼，孩子的亲属后来告诉埃琳娜。“志愿者叔叔用自己的身体盖住了我——他的头被扯了下来，”塞门佐娃转述了女孩的话。她很难接受它。我为她感到难过”。\n埃琳娜再过三天都不相信丈夫会死。“我坐了两天等他——他会来。我错了。我听了每一个耳语。我明白家庭是不同的，事情发生的方式是不同的，但我们彼此非常爱。我们无法想象没有彼此的生活。好吧，让我们看看这是不是真的。让我们看看我是否会继续生活。因为我不明白这有什么意义。”\n与现在还能坐在家里，用手机和电脑在互联网互相争吵的我们相比，这些渺小的乌克兰人民更值得尊敬。'],89
['问题出在爱国的1450和有不满正常人之间。而不是支持俄罗斯还是乌克兰。\n显示ip确实有用，被扣帽子的在国内，扣帽子的在国外。'],88
['我早就说IP显示不能开。\n对于利维坦来说，信息迷雾才是最好的\n那种情况下，利维坦想说什么就是什么\n现在可怎么搞，关回去么？\nhttps://www.zhihu.com/question/528169764/answer/2451220139'],92
['一个主权国家反抗侵略有错吗？支持乌克兰！普俄去死！还我海参崴！'],255
['前段有些人看到不同意见就要抓1450，显示Ip了大概就是要抓特务了。\n支持乌克兰反侵略。\n支持反侵略，社会主义国家的立国之本。\n看到评论区让我回答什么支不支持梧桐，支不支持反美的，我觉得特别搞笑。这些人还停留在小学生吵架要对方先发个誓——我说假话我是小狗——那个阶段。\n这帮人没明白一个浅显的道理，就连司法机关追究他人犯罪，都需要司法机关去证明他们犯罪，而不需要犯罪嫌疑人自证清白。这帮人指责他人是1450是50万，拿不出任何证据，居然要被指责的人自证清白。这是扯的多大的淡。'],167
['荣耀归于乌克兰自由地区和所有的自由地区(Free Territories)！\n不归于任何帝国利维坦。'],145
['有人认为：“俄乌战争，大部分国人、网友，都支持俄罗斯。”这种情况是否属实？\n1210 赞同 · 311 评论回答\n大部分人考虑的是怎样符合自己国家的利益，当然有一些人就是希望不符合自己国家的利益。\n知乎的提问和排序方式决定了它是一个小众意见容易获得更大机会的地方。'],116
['我刚刚又给乌克兰军队捐了5000格里夫纳，但我不敢告诉你我支持谁。\n毕竟显示IP了，太可怕啦！\n言归正传，我们支持乌克兰，因为我们笃信良知永远不会泯灭，正义必然得以生存。'],497
['怎么啦我人就在欧洲，支持乌克兰'],144
['支持乌克兰人民反抗侵略，支持俄罗斯人民反抗法西斯暴政！！'],127
['坚定支持乌克兰人民抵抗俄罗斯帝国主义的光荣卫国战争'],221
['当然支持乌克兰 了，不然呢？'],90
['支持乌克兰，这有什么不能说的，认为不同意见一定来自境外未免太“纯质”了'],1210
['我一直都是支持乌克兰的啊'],135
['我，在广东，广州，东山！\n我，支持乌克兰！\n\n我才把头发剃光了，你们倒是给我送点帽子戴戴吖……\n怎么显示了IP以后，没人给我发台胞证就算了，连帽子都没人给我送了吗'],99
['乌克兰加油，干死大鹅。'],72
